emitted_at_utc,line_number,line_id,vehicle_id,longitude,latitude,speed_kmh,direction,source,live_observed_at_utc,live_age_s
2026-09-08T12:05:05Z,1001,5201001000,71자2617,128.9799936,35.1004704,,2,live,2026-09-08T12:05:05Z,0.3
2026-09-08T12:05:10Z,103,5200103000,70자1406,128.9980672,35.1022272,,2,live,2026-09-08T12:05:10Z,0.4
2026-09-08T12:05:15Z,1001,5201001000,71자2617,128.9805312,35.1002912,,2,live,2026-09-08T12:05:15Z,0.3
2026-09-08T12:05:31Z,126,5200126000,70자2601,129.0096896,35.2248448,,2,live,2026-09-08T12:05:30Z,0.5
2026-09-08T12:05:31Z,103,5200103000,70자1406,128.9985024,35.1024576,,2,live,2026-09-08T12:05:30Z,0.6
2026-09-08T12:05:36Z,126,5200126000,70자2601,129.0099072,35.2252192,,2,live,2026-09-08T12:05:35Z,0.7
2026-09-08T12:05:46Z,103,5200103000,70자1406,128.9998080,35.1030976,,2,live,2026-09-08T12:05:45Z,0.7
2026-09-08T12:05:51Z,103,5200103000,70자1406,129.0005504,35.1033120,,2,live,2026-09-08T12:05:51Z,0.2
2026-09-08T12:06:06Z,131,5200131000,70자5416,129.0688000,35.1878752,,2,live,2026-09-08T12:06:05Z,0.9
2026-09-08T12:06:10Z,131,5200131000,70자5416,129.0684544,35.1882336,,2,live,2026-09-08T12:06:10Z,0.1
2026-09-08T12:06:16Z,1001,5201001000,71자2617,128.9863168,35.0990976,,2,live,2026-09-08T12:06:15Z,0.3
2026-09-08T12:06:21Z,111-1,5200111100,70자1007,129.0629760,35.1960704,,2,live,2026-09-08T12:06:20Z,0.6
2026-09-08T12:06:26Z,126,5200126000,70자2601,129.0116480,35.2275328,,2,live,2026-09-08T12:06:25Z,0.4
2026-09-08T12:06:31Z,103,5200103000,70자1406,129.0014976,35.1034208,,2,live,2026-09-08T12:06:30Z,0.7
2026-09-08T12:06:36Z,33,5200033000,70자5204,129.0674560,35.1702880,,2,live,2026-09-08T12:06:35Z,0.8
2026-09-08T12:06:41Z,103,5200103000,70자1406,129.0023808,35.1034752,,2,live,2026-09-08T12:06:40Z,0.7
2026-09-08T12:06:41Z,131,5200131000,70자5416,129.0679296,35.1894048,,2,live,2026-09-08T12:06:40Z,0.6
2026-09-08T12:06:46Z,103,5200103000,70자1406,129.0031488,35.1036224,,2,live,2026-09-08T12:06:45Z,0.8
2026-09-08T12:07:06Z,33,5200033000,70자5204,129.0674944,35.1716160,,2,live,2026-09-08T12:07:05Z,0.2
2026-09-08T12:07:11Z,1001,5201001000,71자2617,128.9890560,35.0991072,,2,live,2026-09-08T12:07:11Z,0.1
2026-09-08T12:07:26Z,126,5200126000,70자2601,129.0123776,35.2285376,,2,live,2026-09-08T12:07:26Z,0.4
2026-09-08T12:07:26Z,131,5200131000,70자5416,129.0676224,35.1905856,,2,live,2026-09-08T12:07:26Z,0.3
2026-09-08T12:07:51Z,111-1,5200111100,70자1007,129.0646784,35.1964064,,2,live,2026-09-08T12:07:50Z,0.1
2026-09-08T12:07:52Z,131,5200131000,70자5416,129.0656640,35.1907456,,2,live,2026-09-08T12:07:51Z,0.8
2026-09-08T12:08:01Z,111-1,5200111100,70자1007,129.0653696,35.1965056,,2,live,2026-09-08T12:08:01Z,0.1
2026-09-08T12:08:02Z,126,5200126000,70자2601,129.0131584,35.2311168,,2,live,2026-09-08T12:08:01Z,0.8
2026-09-08T12:08:02Z,1001,5201001000,71자2617,128.9909248,35.0993248,,2,live,2026-09-08T12:08:01Z,0.9
2026-09-08T12:08:02Z,33,5200033000,70자5204,129.0675840,35.1743040,,2,live,2026-09-08T12:08:01Z,0.9
2026-09-08T12:08:07Z,131,5200131000,70자5416,129.0649984,35.1918272,,2,live,2026-09-08T12:08:06Z,0.9
2026-09-08T12:08:26Z,33,5200033000,70자5204,129.0678528,35.1768192,,2,live,2026-09-08T12:08:26Z,0.0
2026-09-08T12:08:27Z,33,5200033000,70자5204,129.0678528,35.1768192,,2,live,2026-09-08T12:08:26Z,1.0
2026-09-08T12:08:52Z,1001,5201001000,71자2617,128.9928192,35.0998432,,2,live,2026-09-08T12:08:51Z,0.8
2026-09-08T12:09:27Z,103,5200103000,70자1406,129.0128640,35.1119392,,2,live,2026-09-08T12:09:26Z,0.5
2026-09-08T12:09:27Z,111-1,5200111100,70자1007,129.0660096,35.1956800,,2,live,2026-09-08T12:09:26Z,0.6
2026-09-08T12:09:32Z,131,5200131000,70자5416,129.0646784,35.1926688,,2,live,2026-09-08T12:09:32Z,0.2
2026-09-08T12:09:42Z,1001,5201001000,71자2617,128.9951616,35.1007200,,2,live,2026-09-08T12:09:41Z,0.5
2026-09-08T12:09:47Z,126,5200126000,70자2601,129.0135936,35.2334016,,2,live,2026-09-08T12:09:46Z,0.8
2026-09-08T12:09:47Z,111-1,5200111100,70자1007,129.0663808,35.1945728,,2,live,2026-09-08T12:09:46Z,0.9
2026-09-08T12:09:52Z,126,5200126000,70자2601,129.0136064,35.2336416,,2,live,2026-09-08T12:09:52Z,0.7
2026-09-08T12:10:01Z,111-1,5200111100,70자1007,129.0667008,35.1933824,,2,live,2026-09-08T12:10:01Z,0.1
2026-09-08T12:10:07Z,111-1,5200111100,70자1007,129.0668032,35.1930304,,2,live,2026-09-08T12:10:06Z,0.3
2026-09-08T12:10:08Z,131,5200131000,70자5416,129.0643456,35.1937792,,2,live,2026-09-08T12:10:07Z,1.0
2026-09-08T12:10:12Z,1001,5201001000,71자2617,128.9955840,35.1009280,,2,live,2026-09-08T12:10:12Z,0.1
2026-09-08T12:10:17Z,131,5200131000,70자5416,129.0641536,35.1943424,,2,live,2026-09-08T12:10:17Z,0.1
2026-09-08T12:10:27Z,126,5200126000,70자2601,129.0136320,35.2341792,,2,live,2026-09-08T12:10:27Z,0.4
2026-09-08T12:10:27Z,103,5200103000,70자1406,129.0136448,35.1132256,,2,live,2026-09-08T12:10:26Z,0.5
2026-09-08T12:10:32Z,126,5200126000,70자2601,129.0137600,35.2349792,,2,live,2026-09-08T12:10:32Z,0.5
2026-09-08T12:11:07Z,131,5200131000,70자5416,129.0638720,35.1950592,,2,live,2026-09-08T12:11:07Z,0.0
2026-09-08T12:11:08Z,131,5200131000,70자5416,129.0638720,35.1950592,,2,live,2026-09-08T12:11:07Z,1.0
2026-09-08T12:11:12Z,103,5200103000,70자1406,129.0140928,35.1142336,,2,live,2026-09-08T12:11:12Z,0.3
2026-09-08T12:11:17Z,126,5200126000,70자2601,129.0138368,35.2364096,,2,live,2026-09-08T12:11:17Z,0.4
2026-09-08T12:11:17Z,131,5200131000,70자5416,129.0636928,35.1957632,,2,live,2026-09-08T12:11:17Z,0.2
2026-09-08T12:11:27Z,103,5200103000,70자1406,129.0147456,35.1147648,,2,live,2026-09-08T12:11:27Z,0.6
2026-09-08T12:11:27Z,1001,5201001000,71자2617,128.9985792,35.1023712,,2,live,2026-09-08T12:11:27Z,0.5
2026-09-08T12:11:27Z,131,5200131000,70자5416,129.0627328,35.1961632,,2,live,2026-09-08T12:11:27Z,0.4
2026-09-08T12:11:32Z,33,5200033000,70자5204,129.0676096,35.1769216,,2,live,2026-09-08T12:11:32Z,0.7
2026-09-08T12:11:38Z,1001,5201001000,71자2617,128.9993472,35.1027616,,2,live,2026-09-08T12:11:37Z,0.6
2026-09-08T12:11:43Z,126,5200126000,70자2601,129.0140544,35.2382592,,2,live,2026-09-08T12:11:42Z,0.7
2026-09-08T12:11:58Z,126,5200126000,70자2601,129.0145920,35.2387744,,2,live,2026-09-08T12:11:57Z,0.9
